status	check	detail
OPEN	subCategory unknown param rejected/handled	sub_category=32567.0; subCategory=54419.3
OPEN	state-sales CLI category/sub-category/brand flags	exit=2; Error: unknown flag: --category

OPEN	invalid metric rejected	exit=0; returned_metric=units
OPEN	invalid mode rejected	exit=0; returned_mode=single
OPEN	top-skus uppercase platform accepted/normalized	lower_exit=0; upper_exit=1; upper_msg=Error: invalid value "AMAZON" for --platform: must be one of [amazon bigbasket blinkit citymall flipkart flipkart_grocery jiomart swiggy zepto zomato]

OPEN	category-platform-breakdown returns data	exit=0; total_ltrs=0; platforms_len=0; name=Uncategorized
OPEN	category-sku-breakdown amazon returns SKUs	exit=0; total_ltrs=0; skus_len=0; name=Uncategorized
OPEN	state-sales-detail reconciles with summary	summary_total=0; states=0; detail_total=0; rows=0
OPEN	city aliases canonicalized	cities_sample=['Delhi', 'Mumbai', 'Hyderabad', 'Bangalore', 'Bengaluru', 'Gurgaon', 'Pune', 'Chennai', 'Chandigarh', 'Noida']
OPEN	unsupported platform commands hidden/blocked before API	exit=5; msg=Error: GET /api/platform/blinkit/ads-dashboard returned HTTP 400: ["Amazon Ads Dashboard is available only for Amazon."]

OPEN	state-sales litres uses clear total_ltrs/unit fields	metric=litres; has_total_units=True; keys=['brands', 'categories', 'cities', 'errors', 'filter_options', 'mapped_units', 'mapped_value', 'metric', 'metric_label', 'metric_unit', 'mode', 'month']
